2025-06-01T18:19:07.374013
[INFO] Getting and transforming the data...
[INFO] Training set size = 60000, Test set size = 10000
[INFO] Using device: cuda
[INFO] Data directory: /home/admin/.cache/ml/datasets/neuronal-decay, Results directory: ./out/results, Logs directory: ./out/logs
[INFO] Hyperparameters: batch_size=512, rotations=(0, 80, 160), learning_rate=0.001, n_batches_per_task=500, test_size=2000, n_neurons=2048, decay_lambda=1e-05
[INFO] Domain variables: n_tasks=3, n_classes=10, img_n_channels=1, img_size=28
~~~~~~~~~~~~~~~~~~~ Running experiment 1~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.300141 | Test accuracy (task 1): 17.97% | Batch: 0
Training loss: 0.368042 | Test accuracy (task 1): 90.19% | Batch: 25
Training loss: 0.200443 | Test accuracy (task 1): 94.48% | Batch: 50
Training loss: 0.156002 | Test accuracy (task 1): 96.00% | Batch: 75
Training loss: 0.161880 | Test accuracy (task 1): 96.00% | Batch: 100
Training loss: 0.126284 | Test accuracy (task 1): 96.39% | Batch: 125
Training loss: 0.113629 | Test accuracy (task 1): 96.14% | Batch: 150
Training loss: 0.070296 | Test accuracy (task 1): 96.58% | Batch: 175
Training loss: 0.070326 | Test accuracy (task 1): 97.51% | Batch: 200
Training loss: 0.116895 | Test accuracy (task 1): 97.31% | Batch: 225
Training loss: 0.042604 | Test accuracy (task 1): 97.41% | Batch: 250
Training loss: 0.057810 | Test accuracy (task 1): 97.46% | Batch: 275
Training loss: 0.043569 | Test accuracy (task 1): 97.75% | Batch: 300
Training loss: 0.034252 | Test accuracy (task 1): 97.71% | Batch: 325
Training loss: 0.054958 | Test accuracy (task 1): 97.80% | Batch: 350
Training loss: 0.050602 | Test accuracy (task 1): 96.29% | Batch: 375
Training loss: 0.026348 | Test accuracy (task 1): 97.80% | Batch: 400
Training loss: 0.024530 | Test accuracy (task 1): 97.71% | Batch: 425
Training loss: 0.048969 | Test accuracy (task 1): 97.66% | Batch: 450
Training loss: 0.026782 | Test accuracy (task 1): 96.97% | Batch: 475
==================== Training on task 2 ====================
Training loss: 4.511216 | Test accuracy (task 1): 97.71% | Batch: 0
Training loss: 0.232660 | Test accuracy (task 1): 94.97% | Batch: 25
Training loss: 0.114356 | Test accuracy (task 1): 96.83% | Batch: 50
Training loss: 0.133106 | Test accuracy (task 1): 96.92% | Batch: 75
Training loss: 0.113824 | Test accuracy (task 1): 97.56% | Batch: 100
Training loss: 0.056963 | Test accuracy (task 1): 97.61% | Batch: 125
Training loss: 0.093769 | Test accuracy (task 1): 97.80% | Batch: 150
Training loss: 0.048497 | Test accuracy (task 1): 98.54% | Batch: 175
Training loss: 0.069377 | Test accuracy (task 1): 96.97% | Batch: 200
Training loss: 0.063293 | Test accuracy (task 1): 97.61% | Batch: 225
Training loss: 0.043496 | Test accuracy (task 1): 97.90% | Batch: 250
Training loss: 0.024346 | Test accuracy (task 1): 98.05% | Batch: 275
Training loss: 0.033727 | Test accuracy (task 1): 97.56% | Batch: 300
Training loss: 0.050120 | Test accuracy (task 1): 97.17% | Batch: 325
Training loss: 0.029497 | Test accuracy (task 1): 98.10% | Batch: 350
Training loss: 0.026844 | Test accuracy (task 1): 97.31% | Batch: 375
Training loss: 0.018866 | Test accuracy (task 1): 97.90% | Batch: 400
Training loss: 0.021215 | Test accuracy (task 1): 97.27% | Batch: 425
Training loss: 0.024523 | Test accuracy (task 1): 98.05% | Batch: 450
Training loss: 0.019449 | Test accuracy (task 1): 98.19% | Batch: 475
==================== Training on task 3 ====================
Training loss: 2.648040 | Test accuracy (task 1): 97.53% | Batch: 0
Training loss: 0.160546 | Test accuracy (task 1): 95.48% | Batch: 25
Training loss: 0.117003 | Test accuracy (task 1): 97.14% | Batch: 50
Training loss: 0.082002 | Test accuracy (task 1): 97.53% | Batch: 75
Training loss: 0.066824 | Test accuracy (task 1): 97.66% | Batch: 100
Training loss: 0.063920 | Test accuracy (task 1): 97.33% | Batch: 125
Training loss: 0.042495 | Test accuracy (task 1): 97.92% | Batch: 150
Training loss: 0.041209 | Test accuracy (task 1): 97.72% | Batch: 175
Training loss: 0.038103 | Test accuracy (task 1): 98.24% | Batch: 200
Training loss: 0.027546 | Test accuracy (task 1): 97.59% | Batch: 225
Training loss: 0.021221 | Test accuracy (task 1): 97.59% | Batch: 250
Training loss: 0.033719 | Test accuracy (task 1): 97.53% | Batch: 275
Training loss: 0.019488 | Test accuracy (task 1): 97.82% | Batch: 300
Training loss: 0.021103 | Test accuracy (task 1): 97.69% | Batch: 325
Training loss: 0.030501 | Test accuracy (task 1): 97.62% | Batch: 350
Training loss: 0.025819 | Test accuracy (task 1): 97.85% | Batch: 375
Training loss: 0.013302 | Test accuracy (task 1): 97.14% | Batch: 400
Training loss: 0.013770 | Test accuracy (task 1): 97.62% | Batch: 425
Training loss: 0.011893 | Test accuracy (task 1): 97.95% | Batch: 450
Training loss: 0.017887 | Test accuracy (task 1): 98.05% | Batch: 475
Experiment 1 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 2~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.302769 | Test accuracy (task 1): 06.59% | Batch: 0
Training loss: 0.263316 | Test accuracy (task 1): 91.31% | Batch: 25
Training loss: 0.243977 | Test accuracy (task 1): 93.41% | Batch: 50
Training loss: 0.170964 | Test accuracy (task 1): 95.07% | Batch: 75
Training loss: 0.137242 | Test accuracy (task 1): 96.34% | Batch: 100
Training loss: 0.083546 | Test accuracy (task 1): 96.53% | Batch: 125
Training loss: 0.091721 | Test accuracy (task 1): 96.92% | Batch: 150
Training loss: 0.115336 | Test accuracy (task 1): 96.83% | Batch: 175
Training loss: 0.087831 | Test accuracy (task 1): 97.27% | Batch: 200
Training loss: 0.119731 | Test accuracy (task 1): 97.66% | Batch: 225
Training loss: 0.069964 | Test accuracy (task 1): 96.83% | Batch: 250
Training loss: 0.067268 | Test accuracy (task 1): 96.97% | Batch: 275
Training loss: 0.042627 | Test accuracy (task 1): 98.05% | Batch: 300
Training loss: 0.051520 | Test accuracy (task 1): 97.95% | Batch: 325
Training loss: 0.041056 | Test accuracy (task 1): 97.80% | Batch: 350
Training loss: 0.047664 | Test accuracy (task 1): 97.17% | Batch: 375
Training loss: 0.043099 | Test accuracy (task 1): 98.05% | Batch: 400
Training loss: 0.017751 | Test accuracy (task 1): 98.10% | Batch: 425
Training loss: 0.023795 | Test accuracy (task 1): 98.29% | Batch: 450
Training loss: 0.042725 | Test accuracy (task 1): 98.10% | Batch: 475
==================== Training on task 2 ====================
Training loss: 6.812288 | Test accuracy (task 1): 97.80% | Batch: 0
Training loss: 0.229471 | Test accuracy (task 1): 32.57% | Batch: 25
Training loss: 0.167222 | Test accuracy (task 1): 29.83% | Batch: 50
Training loss: 0.101050 | Test accuracy (task 1): 31.69% | Batch: 75
Training loss: 0.079030 | Test accuracy (task 1): 33.15% | Batch: 100
Training loss: 0.057573 | Test accuracy (task 1): 32.32% | Batch: 125
Training loss: 0.057798 | Test accuracy (task 1): 31.88% | Batch: 150
Training loss: 0.062455 | Test accuracy (task 1): 30.42% | Batch: 175
Training loss: 0.041156 | Test accuracy (task 1): 27.34% | Batch: 200
Training loss: 0.029444 | Test accuracy (task 1): 27.05% | Batch: 225
Training loss: 0.040926 | Test accuracy (task 1): 26.32% | Batch: 250
Training loss: 0.035293 | Test accuracy (task 1): 27.98% | Batch: 275
Training loss: 0.019932 | Test accuracy (task 1): 28.91% | Batch: 300
Training loss: 0.033211 | Test accuracy (task 1): 27.25% | Batch: 325
Training loss: 0.022319 | Test accuracy (task 1): 29.59% | Batch: 350
Training loss: 0.016512 | Test accuracy (task 1): 26.42% | Batch: 375
